hash,file,bundle,offset,size
5cbe02616b0dd182,skin_01_r1.mat,Tiny.VF.1,105065664,26566
cf43cd4534780c36,skin_02_r1.mat,Tiny.V5.1,107952110,26438
ec118aa4d907e50d,trickle_bloodribbons_01_r.mat,Tiny.V7.1,115211816,28380
a618aa859e2dee96,trickle_bloodribbons_01_u.mat,Tiny.V9.1,121018135,31934
f4dfae5b40145a1f,gather_buildblur_01_r.mat,Tiny.V3.1,107568741,24392
1b18eb4617a7bb22,gather_buildblur_01_u.mat,Tiny.V7.1,104430312,1164
fde8b0eacd02b98c,gather_ribbon_02_u.mat,Tiny.VE.1,108225724,40364
ec589c1b96eb86df,gather_ribbon_01_r.mat,Tiny.V6.1,108743433,64594
42450957e72f9c9d,gather_ribbon_01_u.mat,Tiny.V9.1,110984691,18136
9078aa22a4138397,gout_bloodribbons_01_r.mat,Tiny.VF.1,105040358,25306
5988935abd71677a,gout_bloodribbons_01_u.mat,Tiny.V5.1,107921218,30892
