hash,file,bundle,offset,size
9eaa7f31b3c5d645,1h_axe_mace.epk,Tiny.V6.1,63379795,1658
e63c10e8f0fce00c,1h_axe_mace_epk_pass0.mat,Tiny.VE.1,64307512,5582
f72b33eaccf8f16b,dagger.epk,Tiny.V1.1,61195726,1172
4cce77bad069a67f,dagger_epk_pass0.mat,Tiny.VE.1,64307512,5582
33ca6decf99ee0d9,bow.epk,Tiny.V4.1,63299444,1232
ba27aa069048d245,bow_epk_pass0.mat,Tiny.VE.1,64307512,5582
85a1f6a5f9f86d37,staff.epk,Tiny.VE.1,64328100,1402
9846fe0331c7840f,staff_epk_pass0.mat,Tiny.VE.1,64307512,5582
a295e1689cfcc12a,shield.epk,Tiny.V6.1,63381453,1190
94054249b2e270e4,shield_epk_pass0.mat,Tiny.VE.1,64307512,5582
52e33fd48f25b157,sword.epk,Tiny.V7.1,60146654,1414
022a462c917a66f3,sword_epk_pass0.mat,Tiny.VE.1,64307512,5582
d397957fb6a61eff,2h_axe_mace.epk,Tiny.VA.1,63272448,1886
6c5440822e28a1e3,2h_axe_mace_epk_pass0.mat,Tiny.VE.1,64307512,5582
