hash,file,bundle,offset,size
a1f4488909aa4aeb,jadechunk_baseorb_01_r.mat,Tiny.VF.1,105022232,53692
92ad1c2523cf5efb,jadechunk_baseorb_01_u.mat,Tiny.VB.1,107878517,26284
a15ca0693c9636f3,explode_baseorb_01_r.mat,Tiny.VE.1,108446306,55590
464e43fa6f74b21f,explode_baseorb_01_u.mat,Tiny.V4.1,116920728,14764
68b07fbbc031777a,chunk_embers_01_u.mat,Tiny.VE.1,108428900,17406
884dfbadd72558dc,chunk_drippingembers_01_u.mat,Tiny.VB.1,107828325,10164
d1d93ee486fe12e6,chunk_blurtrail_01_r.mat,Tiny.VB.1,107806997,21328
e84f13134503197c,chunk_glowtrail_01_r.mat,Tiny.VC.1,110302405,27854
67bd1056e1338d04,chunk_glowtrail_02_r.mat,Tiny.VB.1,107838489,40028
1e8048f1b604c941,chunk_trailingdebris_01_r.mat,Tiny.VC.1,110330259,36186
e94ef36fdeff3f15,chunk_trailingdebris_01_u.mat,Tiny.V3.1,107558503,15700
327504bb667eab6a,cascade_debris_02_r.mat,Tiny.V8.1,107738096,40358
38f9761f3b6983ce,cascade_debris_02_u.mat,Tiny.VC.1,110276977,25428
104d10b4d1684a03,cascade_debris_01_r.mat,Tiny.VF.1,104812730,53786
8a71107f45323b92,cascade_debris_01_u.mat,Tiny.VE.1,108392532,36368
943d120cd2563bea,cascade_smoke_01_r.mat,Tiny.V1.1,106927846,26188
09d8201899933118,cascade_smoke_01_u.mat,Tiny.V6.1,108811647,13330
8086c1d102f88a4c,cascade_spike_01_u.mat,Tiny.V8.1,107850548,14682
d68c945d8ce2d09a,cascade_spike_01_r.mat,Tiny.V3.1,107456379,77732
ff62f15a25e3797a,cascade_spike_01_r1.mat,Tiny.V8.1,107778454,72094
932945684bc36cf2,cascade_spike_01_r2.mat,Tiny.V0.1,107767384,37518
