hash,file,bundle,offset,size
164643ff18cb180a,trail_spin_black.mat,Tiny.VF,36841255,1354
d8c4ea105c4fc2d2,trail_spin_black.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/9809DB4E6F3FA803.427EB50BF973BDEA.trl_claw_xtra.trl,616856,87588
510bed729b8e88b2,trail_spin_black.dds.header,Tiny.V0,36930199,504
8713638c25ce44f0,trail_center.mat,Tiny.V6,36718039,2420
aa30be9da2f6a843,trail_center.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/9809DB4E6F3FA803.427EB50BF973BDEA.trl_claw_xtra.trl,529268,87588
664a2aa3e6a01873,trail_center.dds.header,Tiny.V0,36930199,504
7262727ff008e532,proj_base.mat,Tiny.V1,36592681,4056
94fbf342ee1505b8,proj_base.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/73825D936D0D19AA.788B78141AD370C7.detonate.pet,109608,174948
8b69e488d7da721c,proj_base.dds.header,Tiny.VE,36417604,840
11525b683376b997,scrolling_tex.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/73825D936D0D19AA.788B78141AD370C7.detonate.pet,284556,349700
6e4efacecabee43d,scrolling_tex.dds.header,Tiny.V0,37026699,1520
e86f8e3fe16ba2c3,shockwave_multi.mat,Tiny.V0,37028219,3592
53e91122a4c452b6,shockwave_multi.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/36E272558B97F0CB.E477276A66D9D111.ipct.pet,93192,87556
2a8fb49794a4f829,shockwave_multi.dds.header,Tiny.VF,37895685,1520
52fad23a3c8a9386,shockwave_fire.mat,Tiny.VD,36986380,3798
15cd3a7eb777367c,shockwave_fire.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/36E272558B97F0CB.E477276A66D9D111.ipct.pet,5636,87556
562d9a905e05edb1,shockwave_fire.dds.header,Tiny.VF,37895685,1520
84b4fbb3e7cb6da1,breach_lookup.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/9809DB4E6F3FA803.427EB50BF973BDEA.trl_claw_xtra.trl,525008,4260
d1479144105f6861,breach_lookup.dds.header,Tiny.VA,37057298,280
a989a459c28f102b,breach_sparkling.mat,Tiny.V1,36590929,1752
f1ba6076cb28b2ec,breach_sparkling.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/36E272558B97F0CB.E477276A66D9D111.ipct.pet,0,5636
e7e2684d17e2960b,breach_sparkling.dds.header,Tiny.VC,36838317,1520
aed36d85ed5d483c,base_wind_multi.mat,Tiny.V4,37133777,1614
08526b1f204c5571,base_wind_multi.dds,Streaming/Content/metadata/particles/monster_effects/league_betrayal/73825D936D0D19AA.788B78141AD370C7.detonate.pet,87556,22052
1c7fc9646e7b3988,base_wind_multi.dds.header,Tiny.VC,36839837,504
