hash,file,bundle,offset,size
8e472d032824aabf,explode_flash_r.mat,Tiny.V1.1,111079164,32968
15d16d1a873e5971,shimmerwave_r.mat,Tiny.V0.1,115528546,17678
44a0a15838ad7a23,bulbshocksoft_r.mat,Tiny.VC.1,115718596,27474
271a608aa8b1b649,bulbsparks_02_u.mat,Tiny.V2.1,114069862,13856
f166d46f7b9b3dba,pro_flare_r.mat,Tiny.VF.1,112407364,34560
da19d5b376e274d6,pro_flare_u.mat,Tiny.VE.1,1562868,310
0f9e0d41a69c55e5,caustics_r.mat,Tiny.V2.1,114083718,6468
8702653b3dff13f1,caustics_u.mat,Tiny.VE.1,1562868,310
8a21d46facae071f,caustics_big_r.mat,Tiny.VA.1,111893692,9310
abb14a1f120a7ea5,volatile_core_r.mat,Tiny.V4.1,115430152,36842
c0f53cc77591e407,volatile_core_dark_r.mat,Tiny.V5.1,110619378,46500
