hash,file,bundle,offset,size
b5e60e75674e8b63,pyrearmourglovesint.sm,Tiny.V7,9962180,636
8219cac2cd98524e,pyrearmourglovesint_4b2c8df3.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.295ED992D96A6430.stockymittsstrint.ao,310960,133037
0c69f0938b7a5a70,pyrearmourglovesint_4b2c8df3.smd.header,Tiny.V0,10219952,448
c13957b34f9f6546,pyrearmourglovesdex.sm,Tiny.V1,9953122,638
2444b6e79e9bbb37,pyrearmourglovesdex_ce662ff1.smd,Streaming/Content/metadata/items/armours/gloves/6202BCC2FCBC5A2A.C95450C45B83761D.ophidianlordglowglovesdexint.ao,116071,132685
30af201c458af297,pyrearmourglovesdex_ce662ff1.smd.header,Tiny.V9,10349559,448
9066a4cee2279917,pyrearmourglovesdexint.sm,Tiny.VA,10008909,640
d0eb3fe3f276082a,pyrearmourglovesdexint_4cfe13a2.smd,Streaming/Content/metadata/items/armours/gloves/6202BCC2FCBC5A2A.C95450C45B83761D.ophidianlordglowglovesstrint.ao,58171,129307
9f73b876c7c63a2f,pyrearmourglovesdexint_4cfe13a2.smd.header,Tiny.V5,9767195,448
3c93d49e317e758d,pyrearmourglovesstr.sm,Tiny.V7,9962816,632
887f5e382073b034,pyrearmourglovesstrint.sm,Tiny.V2,10266729,638
a59ea5f82e840b75,pyrearmourglovesstrint_fc3617e5.smd,Streaming/Content/metadata/items/armours/gloves/08D7CB1076480562.pyrearmoursetglovesstrint.ao,0,129435
0760b0b44fea03fc,pyrearmourglovesstrint_fc3617e5.smd.header,Tiny.VA,10009549,448
a692e1779b08a270,pyrearmourglovesstrdex.sm,Tiny.VD,9961124,638
46b8ea15b36529f6,pyrearmourglovesstrdex_6ead0c1b.smd,Streaming/Content/metadata/items/armours/gloves/A8F1EEC7C4C19C18.pyrepurplearmoursetglovesstrdex.ao,0,129339
dd1510f2fa23924f,pyrearmourglovesstrdex_6ead0c1b.smd.header,Tiny.VC,9920107,448
9bdfa33e51f1a1e7,pyrearmourglovesstr_61f99c06.smd,Streaming/Content/metadata/items/armours/gloves/8D5CA6F7970B14CB.stormbornearmourglovesdex.ao,274882,129077
007ef4f9b0763fbd,pyrearmourglovesstr_61f99c06.smd.header,Tiny.V4,10086861,448
