hash,file,bundle,offset,size
c3543de37972aba7,atlasicons.mat,Tiny_1,27327352,528
6dba2c7447c2d7a9,beamconnector.mat,Tiny_1,27327880,432
5af39b0860774d7e,onpillarlight.mat,Tiny_1,27370028,6578
0727795ff45d37b1,rock_nmlao_dxt5.dds,Art/Microtransactions/Hideout/AtlasHideout_5,0,5592580
1d49d34daf47c6e5,rock_nmlao_dxt5.dds.header,Tiny_1,27378126,1520
b2e8466c50aad53f,rock_clr_dxt5.dds,Art/Microtransactions/Hideout/AtlasHideout_3,0,5592580
1eb7a90b0d4197e1,rock_clr_dxt5.dds.header,Tiny_1,27376606,1520
d68ebe4a54360056,mapopen_sparks.mat,Tiny_1,27363644,2628
f777446ed47715c0,mapopen_waveshimmer.mat,Tiny_1,27366272,3756
1c730d8fde29bf40,mapopen_pillarlight.mat,Tiny_1,27349874,6656
92ab7d263762802b,mapopen_pillarlightcore.mat,Tiny_1,27356530,7114
f30464b9f0270c40,dummytest_dxt5.dds,Folders/art/microtransactions/hideout/atlashideout,0,5592580
39df0ec78903d4de,dummytest_dxt5.dds.header,Tiny_1,27348354,1520
675f47e33e30fb4b,devicegold.mat,Tiny_1,27331352,2526
48a5c80cb86a5e6b,deviceorb.mat,Tiny_1,27333878,7252
91ca037c83be4d2a,deviceorb_active.mat,Tiny_1,27341130,7224
c3ab6c64b53620d8,copper_nmlao_dxt5.dds,Art/Microtransactions/Hideout/AtlasHideout_1,0,1398276
313991c23049cd56,copper_nmlao_dxt5.dds.header,Tiny_1,27329832,1520
4269c7d21dc27ae2,copper_clr_dxt5.dds,Art/Microtransactions/Hideout/AtlasHideout_4,0,87556
50c497755d389ad3,copper_clr_dxt5.dds.header,Tiny_1,27328312,1520
