hash,file,bundle,offset,size
85b07b70f9fbe160,impact_dropbolt_03_r.mat,Tiny.V6.1,123032921,29444
b58efc83287f20a2,impact_dropbolt_03_u.mat,Tiny.V8.1,124938570,4854
7d92665d7ab2b423,impact_ringglow_02_u.mat,Tiny.V3.1,123249099,2208
65f0a455c07b44ae,impact_ringglow_02_r.mat,Tiny.V6.1,123101151,50056
8478aaabed325c14,impact_ringglow_02_r1.mat,Tiny.VC.1,125242165,48432
0770cfcbc47ada34,impact_sparks_01_r.mat,Tiny.V1.1,124597452,36296
6ff7493908ded9d9,impact_sparks_01_u.mat,Tiny.VD.1,124220446,14480
f87802d65a790a2e,impact_emberstrings_r.mat,Tiny.V6.1,123062365,38786
101b1fb1911c16ba,impact_emberstrings_u.mat,Tiny.VC.1,125191695,26400
2c5babbe10c2bdf3,impact_warpcircle_01_r.mat,Tiny.V1.1,124633748,8752
c0938e3edafb43ea,impact_warpcircle_01_u.mat,Tiny.VD.1,124234926,2156
205eb904dfe87d33,impact_glowoomph_01_r.mat,Tiny.V1.1,124542048,55404
bd1bb6122431156d,impact_glowoomph_01_u.mat,Tiny.V9.1,126652236,2212
f59c5b672d8d7054,impact_flash_01_r.mat,Tiny.VC.1,125218095,24070
035f3d3569b1f6b0,impact_flash_01_u.mat,Tiny.V2.1,96433344,2212
