hash,file,bundle,offset,size
a2d8fe529f98ea6b,surge_up.mat,Tiny.V5,6948401,3436
8b9675ace6e435f5,caustics.mat,Tiny.V6,7002359,4026
8a51ac068b77dfc7,crystal_surges.mat,Tiny.VA,6498843,3706
81691e173e652b55,rune.mat,Tiny.V8,6890656,4858
f893560996d3f8b5,rune_flower.mat,Tiny.VF,6995003,2414
0b36dae38884b73d,rune_ring.mat,Tiny.VA,7081044,3164
f8bba5729cf693aa,flares_starrays.mat,Tiny.VB,6972517,1412
788867b04607a868,flare_ts.mat,Tiny.VC,6970126,2902
f2bd71d7f580ead0,beam_m.mat,Tiny.VC,6961632,8494
c0464cb186b5d1f9,beam_bg.mat,Tiny.V6,6995575,6784
e1b15ab8070a9507,beam_s.mat,Tiny.VF,6987897,3980
ee4db0380c43c7f8,beam_l.mat,Tiny.VE,6963465,9360
1660c45a5f05c0d7,glow_ring.mat,Tiny.VF,6991877,3126
23aefe730b3b18e2,grads_up.mat,Tiny.V6,7006385,1888
73d9f37043f8ec89,grad_f.mat,Tiny.V8,6888646,2010
e04189120b12a5fa,grad_blk_f.mat,Tiny.VB,6973929,1720
