hash,file,bundle,offset,size
b5e60e75674e8b63,pyrearmourglovesint.sm,Tiny.V7,9610559,636
8219cac2cd98524e,pyrearmourglovesint_4b2c8df3.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.265489D7FC7C7A59.doubledgauntletsdex.ao,308098,133037
0c69f0938b7a5a70,pyrearmourglovesint_4b2c8df3.smd.header,Tiny.V0,9849696,448
c13957b34f9f6546,pyrearmourglovesdex.sm,Tiny.V1,9591849,638
2444b6e79e9bbb37,pyrearmourglovesdex_ce662ff1.smd,Streaming/Content/metadata/items/armours/gloves/6202BCC2FCBC5A2A.C95450C45B83761D.ophidianlordglowglovesdexint.ao,116071,132685
30af201c458af297,pyrearmourglovesdex_ce662ff1.smd.header,Tiny.V9,9924634,448
9066a4cee2279917,pyrearmourglovesdexint.sm,Tiny.VA,9651293,640
d0eb3fe3f276082a,pyrearmourglovesdexint_4cfe13a2.smd,Streaming/Content/metadata/items/armours/gloves/6202BCC2FCBC5A2A.C95450C45B83761D.ophidianlordglowglovesstrint.ao,58171,129307
9f73b876c7c63a2f,pyrearmourglovesdexint_4cfe13a2.smd.header,Tiny.V5,9449700,448
3c93d49e317e758d,pyrearmourglovesstr.sm,Tiny.V7,9611195,632
887f5e382073b034,pyrearmourglovesstrint.sm,Tiny.V2,9899928,638
a59ea5f82e840b75,pyrearmourglovesstrint_fc3617e5.smd,Streaming/Content/metadata/items/armours/gloves/08D7CB1076480562.pyrearmoursetglovesstrint.ao,0,129435
0760b0b44fea03fc,pyrearmourglovesstrint_fc3617e5.smd.header,Tiny.VA,9651933,448
a692e1779b08a270,pyrearmourglovesstrdex.sm,Tiny.VD,9553395,638
46b8ea15b36529f6,pyrearmourglovesstrdex_6ead0c1b.smd,Streaming/Content/metadata/items/armours/gloves/A8F1EEC7C4C19C18.pyrepurplearmoursetglovesstrdex.ao,0,129339
dd1510f2fa23924f,pyrearmourglovesstrdex_6ead0c1b.smd.header,Tiny.VC,9559573,448
9bdfa33e51f1a1e7,pyrearmourglovesstr_61f99c06.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.FBDF53E227103F61.shacklesofthewretchedstr.ao,565217,129077
007ef4f9b0763fbd,pyrearmourglovesstr_61f99c06.smd.header,Tiny.V4,9754649,448
