hash,file,bundle,offset,size
22245523d5b803e8,wind_flowc.mat,Tiny_7,54652197,2176
761ca8019cfa068b,wind_flow.dds,Art/particles/totem/chargeflask,546832,349700
74d025035fe50763,wind_flow.dds.header,Tiny_7,54650677,1520
49f5e22da42c82f6,spiral.mat,Tiny_7,54649333,1344
8404352dfaca054f,spiral.dds,Art/particles/totem/chargeflask,896532,87556
9fab3d4670835e87,spiral.dds.header,Tiny_7,54647813,1520
f06b00641f8fb24e,spark3_blue.mat,Tiny_7,54646469,1344
e03e8e5976649d12,spark3_blue.dds,Art/particles/totem/chargeflask,371720,87556
09324e6add04a45b,spark3_blue.dds.header,Tiny_7,54644949,1520
7427877497dd0087,smoke6frey.mat,Tiny_7,54642287,2662
19f7ef7a468ee821,smoke6frey.dds,Art/particles/monster_particles/AtlasofWorlds_128,0,87556
86cc934f36a82da1,smoke6frey.dds.header,Tiny_7,54640767,1520
e0b9b92fbc68fea8,slam_circle.mat,Tiny_7,54639423,1344
8d115ca32688eb42,slam_circle.dds,Art/particles/totem/chargeflask,22020,349700
3182cde9428ed53c,slam_circle.dds.header,Tiny_7,54637903,1520
d2d01cc9fa4ef5cf,runes_highres_circlec.mat,Tiny_7,54635963,1940
7f81c5c211a26305,runes_highres_circle_testc.mat,Tiny_7,54633937,2026
80f7831b93544f47,runes_highres_circle_test.dds,Art/particles/totem/chargeflask,984088,87556
d63c68ff3abffe6b,runes_highres_circle_test.dds.header,Tiny_7,54632417,1520
845cd86ccdba4d93,runes_highres_circle_multic.mat,Tiny_7,54631119,1298
917b98564da9bbc0,runes_highres_circle_multi.dds,Art/particles/surge/dark_general_1,0,87556
9c5913b252336a31,runes_highres_circle_multi.dds.header,Tiny_7,54629599,1520
d2d17216f6e0745b,runes_highres_circle.dds,Art/particles/totem/chargeflask,1071644,87556
02c4dbc30da7f2cd,runes_highres_circle.dds.header,Tiny_7,54628079,1520
f9be80e5d7feff60,light_gradient.mat,Tiny_7,54626987,1092
d4643cf7ea29c32c,light_gradient.dds,Art/particles/totem/chargeflask,0,22020
1c2ee1388d913766,light_gradient.dds.header,Tiny_7,54625467,1520
860f1c904af697d7,fat_shimmer.mat,Tiny_7,54624385,1082
5f052f28802e74de,fat_shimmer.dds,Art/particles/totem/chargeflask,459276,87556
aa65eabdeccb2653,fat_shimmer.dds.header,Tiny_7,54622865,1520
