hash,file,bundle,offset,size
49a9feea4827f229,pyrearmourbootsint.sm,Tiny.V4,9914866,628
73eb79ea493f33bb,pyrearmourbootsint_02103e8b.smd,Streaming/Content/metadata/items/armours/boots/E80ED9229E744C17.2C4096C001A44C0A.rustednethermancerbootsstr.ao,485200,70707
a58f492390237274,pyrearmourbootsint_02103e8b.smd.header,Tiny.VA,9849369,448
9c6ac873a3592aa7,pyrearmourbootsdex.sm,Tiny.V9,10167235,628
36420411388aa3f4,pyrearmourbootsdexint.sm,Tiny.VC,9723916,634
8a69ce9b3e861d92,pyrearmourbootsdexint_49e66fcb.smd,Streaming/Content/metadata/items/armours/boots/0FC694A7FAB94F9E.celestialemperorbootsstrint.ao,506174,70681
914874d17972aafd,pyrearmourbootsdexint_49e66fcb.smd.header,Tiny.V2,10109998,448
14c671c9da1ad864,pyrearmourbootsdex_79db9694.smd,Streaming/Content/metadata/items/armours/boots/08D7CB1076480562.pyrearmoursetbootsdex.ao,0,70643
38f22be4bdd24f2e,pyrearmourbootsdex_79db9694.smd.header,Tiny.VB,9890850,448
0048931cf3f20559,pyrearmourbootsstr.sm,Tiny.V3,9801422,614
9abe52718b7ebb29,pyrearmourbootsstrint.sm,Tiny.V6,9892381,620
10ad99d6bc8d4460,pyrearmourbootsstrint_a93a526f.smd,Streaming/Content/metadata/items/armours/boots/08D7CB1076480562.pyrearmoursetbootsstrint.ao,0,70553
95bbaab1221a1603,pyrearmourbootsstrint_a93a526f.smd.header,Tiny.V9,10167863,448
f95961614610b1ca,pyrearmourbootsstrdex.sm,Tiny.V5,9595407,620
c75d1c264cb648f3,pyrearmourbootsstrdex_cd30f9d7.smd,Streaming/Content/metadata/items/armours/boots/3E27A01883DBBDED.coreatlasbootsint.ao,454786,70553
936f2d21483308a9,pyrearmourbootsstrdex_cd30f9d7.smd.header,Tiny.V8,9658301,448
cbe9da3867b89052,pyrearmourbootsstr_0b563475.smd,Streaming/Content/metadata/items/armours/boots/E6517287AAFF5E47.hallowedkeeperbootsdexint.ao,421856,70547
856fb9279f3e6f7b,pyrearmourbootsstr_0b563475.smd.header,Tiny.VD,9774700,448
