hash,file,bundle,offset,size
2afeff8978d891a9,op_mid.pet,Tiny.V9.1,58759650,32592
e834c6e8f21ef779,mid1.pet,Tiny.V9.1,58754250,5400
ce46eff5ee622684,ringlines.pet,Tiny.V7.1,51393252,5776
344c878e6ede5019,ringline1.pet,Tiny.V0.1,54929890,7656
df897e9f981bb9d2,circle_flys.pet,Tiny.VA.1,54844700,8324
170ebb4c597ac41a,center.pet,Tiny.V2.1,56324976,10750
fb7ad1a51c87ca76,cl_mid.pet,Tiny.VF.1,52718082,16014
df4a6c2dda9245ad,cl_end.pet,Tiny.V3.1,54618657,4498
0df13c417ec7f509,torus3.pet,Tiny.V8.1,57149012,5944
fadcf3e49e6929ff,torus2.pet,Tiny.V1.1,53105092,5902
2bb201238c1d2385,torus1.pet,Tiny.V4.1,54805506,5912
9c6e3b9d3b00eda2,surface_flys.pet,Tiny.V2.1,56335726,2630
e34f04b12512b934,slave_sparks.pet,Tiny.V9.1,58792242,2806
