hash,file,bundle,offset,size
a2eb24d523ff92ea,sword.epk,Tiny_9,432873656,1158
d31bbea37fa7649e,sword_epk_pass0.mat,Tiny_9,432876860,10524
f8b97be562ba1fb4,staff.epk,Tiny_9,432872274,1382
1c8d951c58ce310e,staff_epk_pass0.mat,Tiny_9,432859360,9414
69ac71c451f9169a,shield.epk,Tiny_9,432871114,1160
03b8b350a3ceeb78,shield_epk_pass0.mat,Tiny_9,432876860,10524
dd8163228c8e35da,dwc.epk,Tiny_9,432869960,1154
78fe3f6c76fab111,dwc_epk_pass0.mat,Tiny_9,432859360,9414
24d68c74bd216d47,bow.epk,Tiny_9,432868774,1186
497a4202dfa3d8ba,bow_epk_pass0.mat,Tiny_9,432859360,9414
e9b8e467e7178c1b,axemace.epk,Tiny_9,432856588,1162
9726ad88ca6a3724,axemace_epk_pass0.mat,Tiny_9,432859360,9414
ddfebcc2048fb772,axemace_2h.epk,Tiny_9,432857750,1610
e3f6a4b9fe133a85,axemace_2h_epk_pass0.mat,Tiny_9,432859360,9414
