hash,file,bundle,offset,size
66319a1fec1fdcb8,biglinesc.mat,Tiny.V1,35067757,1996
447fb7d47b859091,biglines.dds,Streaming/Content/metadata/effects/spells/lightning_cone/lightningcone.ao,1799830,22020
c6a6de2fab4366de,biglines.dds.header,Tiny.VD,35311061,1520
c9c0238078cd7efb,beam2c.mat,Tiny.V3,34659140,1550
51f91b44f210063d,beam2.dds,Streaming/Content/metadata/effects/spells/lightning_cone/lightningcone.ao,1690254,22020
d6f61ea0ea4679e8,beam2.dds.header,Tiny.V9,35538334,1520
26f086d3a3991509,beam1c.mat,Tiny.VF,35228921,1552
f1bf9c853b8a3db8,beam1.dds,Streaming/Content/metadata/effects/spells/lightning_cone/lightningcone.ao,1668234,22020
c0b2562766b13db8,beam1.dds.header,Tiny.V3,40494529,1520
3d4347b0242b316a,beam3c.mat,Tiny.V0,35268123,1552
bdbf67ee4f66dc03,beam3.dds,Streaming/Content/metadata/effects/spells/lightning_cone/lightningcone.ao,1712274,87556
718bbdf580f36c01,beam3.dds.header,Tiny.VD,41523667,1520
