hash,file,bundle,offset,size
1ccbc99ec9a7cd32,physslam_smoke_shockwave_r.mat,Tiny.V8.1,3464960,26748
6d54724d9571bfd7,physslam_smoke_shockwave_u.mat,Tiny.V2.1,68449016,2196
5733e5dd5a1a91d2,ripple_ring_r.mat,Tiny.VA.1,67138937,56252
053a9076174b5a0f,ripple_ring_u.mat,Tiny.VD.1,67008432,2958
bfeb625bc28fadfa,kickupdust2_u.mat,Tiny.V0.1,116316224,10258
485c5fe491186406,kickupdust_r.mat,Tiny.V6.1,4859323,21422
97cd8b4b1d1401fe,kickupdust_u.mat,Tiny.V9.1,4768891,10222
aef0199a5e84351e,impactaoering_01_u.mat,Tiny.V6.1,4856183,3140
1c4a54157603e371,impactaoering_01_r.mat,Tiny.VF.1,65385264,44470
02a13b2b5b77547a,impactaoering_01_r2.mat,Tiny.VA.1,67113731,25206
2000024fab004161,mblur_sphere_r.mat,Tiny.V8.1,68868484,10930
5b0e7dba1883f6d9,mblur_sphere_u.mat,Tiny.VB.1,80970739,1104
