hash,file,bundle,offset,size
0245336bb4d9297d,fire_sphere_r.mat,Tiny.V4.1,162426930,23682
746a526db93025bc,pnt_u.mat,Tiny.VD.1,5332868,346
1bd80e154429c362,zoom_distort_r.mat,Tiny.V5.1,161628604,6914
7a06e7a3daa4aa70,volatile_pulse_aoe_r.mat,Tiny.V5.1,161589278,39326
83e53ff70c6e0546,mblur_r.mat,Tiny.V7.1,159716708,9040
fe04e08b1cd9275d,impactwave_r.mat,Tiny.VC.1,165749757,54864
40254a6831f48ee9,impact_flash_01_r.mat,Tiny.VB.1,161670537,24720
9ea4ad6c0e892866,crystalskin_r.mat,Tiny.V1.1,161223698,58198
fd667154e904e870,crystalskin_u.mat,Tiny.V7.1,159709164,7544
2ab0e9ad40cea387,dust_poof_r.mat,Tiny.V3.1,164801727,32114
b3d8c8b9c11e29d3,dust_poof_u.mat,Tiny.VC.1,165734925,14832
708cf3c3191bfd5b,dark_wispy_r.mat,Tiny.VE.1,160035218,26048
ca8b0335add2419c,dark_wispy_u.mat,Tiny.VB.1,78176571,3708
93e9cd67c21a63ca,shockwaves_cleave_r.mat,Tiny.VB.1,161695257,32606
cd852a2a85c3851c,surge_out_r.mat,Tiny.VE.1,160061266,27402
92a38c42e34b1383,sparkling_r.mat,Tiny.VB.1,161727863,14950
6aa388ec07dd38ee,sparkling_u.mat,Tiny.VB.1,161742813,12024
