hash,file,bundle,offset,size
7155f4e4a1f8a591,prisonaltarmapdevice04c.mat,Tiny.VC,11046755,2072
d1d9dfe5bb50b5f3,prisonaltarmapdevice04_sss.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.8,0,87556
4ca68550747db6b4,prisonaltarmapdevice04_sss.dds.header,Tiny.V7,11192955,1520
9afb7db52743bc00,prisonaltarmapdevice04_normal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.7,2796364,5592580
dbf88463f4654745,prisonaltarmapdevice04_normal.dds.header,Tiny.V2,11384724,1520
547334536f0e3e1b,prisonaltarmapdevice04_metal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.7,0,2796364
e200e32ad96cff80,prisonaltarmapdevice04_metal.dds.header,Tiny.VF,11290669,1520
0897bc5f2f4d4ce3,prisonaltarmapdevice04_colour.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.6,0,2796364
63aa8fdb1e3470dd,prisonaltarmapdevice04_colour.dds.header,Tiny.VB,11282998,1520
67ed9ab976d4ffa6,prisonaltarmapdevice03c.mat,Tiny.V7,11192083,872
4c14e8bd0e0e7364,prisonaltarmapdevice03_normal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.5,0,5592580
adbf46cc251e0435,prisonaltarmapdevice03_normal.dds.header,Tiny.VB,11281478,1520
cda5f836229ba0f8,prisonaltarmapdevice03_colour.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.4,0,5592580
acd91ebd6e59f5dd,prisonaltarmapdevice03_colour.dds.header,Tiny.V5,11018390,1520
d8aa7c27cb50e70b,prisonaltarmapdevice02c.mat,Tiny.VB,11276250,5228
626bf0fa22c70e55,prisonaltarmapdevice02_normal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.3,0,5592580
d166e99b7b767fbe,prisonaltarmapdevice02_normal.dds.header,Tiny.V9,11449211,1520
3383852c8e6454bb,prisonaltarmapdevice02_colour.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.2,87556,5592580
853d9a5c5a1351ce,prisonaltarmapdevice02_colour.dds.header,Tiny.V2,11383204,1520
7809ecfcb6f64016,prisonaltarmapdevice05c.mat,Tiny.V0,11407288,872
ea6a236fabb4cb18,prisonaltarmapdevice05_normal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.9,0,5592580
d5077bedebe796bd,prisonaltarmapdevice05_normal.dds.header,Tiny.V5,11019910,1520
6184237b82fceaa0,prisonaltarmapdevice05_colour.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.8,87556,5592580
7d4aa6f6876125bf,prisonaltarmapdevice05_colour.dds.header,Tiny.VA,11235912,1520
2c6fdb7d4c612801,prisonaltarmapdevice01c.mat,Tiny.VF,11288597,2072
bd1bf72ac5b5f064,prisonaltarmapdevice01_sss.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.2,0,87556
fd873b7d8b26fc02,prisonaltarmapdevice01_sss.dds.header,Tiny.V9,11447691,1520
25e1ded9eeecf6cc,prisonaltarmapdevice01_normal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.1,2796364,5592580
83fdc669facdc3cb,prisonaltarmapdevice01_normal.dds.header,Tiny.V0,11405768,1520
1104807c3b0e015f,prisonaltarmapdevice01_metal.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao.1,0,2796364
045f217c4958ef92,prisonaltarmapdevice01_metal.dds.header,Tiny.VC,11045235,1520
42391e02fbdc4735,prisonaltarmapdevice01_colour.dds,Streaming/Content/metadata/mapdevices/prisoneraltarmapdevice/prisoneraltarmapdevice_large.ao,2596195,2796364
b6ca74effebb384e,prisonaltarmapdevice01_colour.dds.header,Tiny.V9,11446171,1520
