hash,file,bundle,offset,size
a2d8fe529f98ea6b,surge_up.mat,Tiny.V5,7190640,3436
8b9675ace6e435f5,caustics.mat,Tiny.V6,7249888,4026
8a51ac068b77dfc7,crystal_surges.mat,Tiny.VA,6721372,3706
81691e173e652b55,rune.mat,Tiny.V8,7121531,4858
f893560996d3f8b5,rune_flower.mat,Tiny.VF,7263076,2414
0b36dae38884b73d,rune_ring.mat,Tiny.VA,7354530,3164
f8bba5729cf693aa,flares_starrays.mat,Tiny.VB,7257094,1412
788867b04607a868,flare_ts.mat,Tiny.VC,7222162,2902
f2bd71d7f580ead0,beam_m.mat,Tiny.VC,7213668,8494
c0464cb186b5d1f9,beam_bg.mat,Tiny.V6,7243104,6784
e1b15ab8070a9507,beam_s.mat,Tiny.VF,7255970,3980
ee4db0380c43c7f8,beam_l.mat,Tiny.VE,7207777,9360
1660c45a5f05c0d7,glow_ring.mat,Tiny.VF,7259950,3126
23aefe730b3b18e2,grads_up.mat,Tiny.V6,7253914,1888
73d9f37043f8ec89,grad_f.mat,Tiny.V8,7119521,2010
e04189120b12a5fa,grad_blk_f.mat,Tiny.VB,7258506,1720
