hash,file,bundle,offset,size
6d1222afdf8858c8,bleeding_ground_decal_r.mat,Tiny.V6.1,196277105,61798
3f4eb2b2825306ed,bleeding_ground_decal_u.mat,Tiny.VF.1,194089296,4092
c3e9de1da467ff3c,bloodorb_gatherribbon_01_r.mat,Tiny.V7.1,194766853,57910
9f556a98f4d7d9ac,bloodorb_gatherribbon_01_u.mat,Tiny.V8.1,198112008,18270
45673978d34d4294,bloodorb_gatherribbon_02_r.mat,Tiny.V9.1,198887271,55780
fa21686b5c00085b,bloodorb_gatherribbon_02_u.mat,Tiny.VA.1,197998141,19020
2660f3a6de742edf,bloodorb_baseblur_01_r.mat,Tiny.VC.1,201620783,13656
485e64b11fb7440c,bloodorb_baseblur_01_u.mat,Tiny.V1.1,195226688,4562
011c578eac815588,bloodorb_baseorb_01_r.mat,Tiny.V7.1,194715635,51218
8b16ccd071fa1651,bloodorb_baseorb_01_u.mat,Tiny.V9.1,198883029,4242
