hash,file,bundle,offset,size
1a51e1ff39034e9f,groundzone_fire_01.mat,Tiny.V5.1,134171896,22870
d480abacc6cfd69d,fire_shimmer_r.mat,Tiny.VF.1,47108726,21840
0502e99e5a05f948,fire_shimmer_u.mat,Tiny.VE.1,159466688,6684
c6eb88498a88534a,fire_embers_r.mat,Tiny.V8.1,135430536,27926
0d9661e2fe972908,fire_embers_u.mat,Tiny.V6.1,161451723,9862
a3fc895222507060,fire_flames_r.mat,Tiny.V8.1,135458462,70172
dac58946beda726e,fire_flames_u.mat,Tiny.V5.1,48902314,27678
84fff41a25284c1c,burstsparks_r.mat,Tiny.V4.1,134690850,52214
5eb904ffec49132b,burstsparks_u.mat,Tiny.VC.1,46894611,25148
98775c1be0a99dcd,burstfire_r.mat,Tiny.VA.1,134920452,53282
919a7d47cf16d668,burstfire_u.mat,Tiny.V2.1,47672994,19914
