hash,file,bundle,offset,size
7556e08522889b79,aoe_ring.mat,Tiny_6,119851156,3968
3622cfa0ead0dd37,verticl.mat,Tiny_6,119959356,5510
62e41fb4e2076d5b,wave_grd.mat,Tiny_6,119964866,5398
1da402815afc4953,shock_thing.mat,Tiny_6,119951788,6218
6deafeffb1652a44,sphere_shockwave.mat,Tiny_6,119958006,1350
80e8088f362a7ea4,rune_marker_dxt1.dds,Folders/art/particles/monster_particles/league_expedition_7,965924,87580
fb5df7c6d7f8ee66,rune_marker_dxt1.dds.header,Tiny_6,119951444,344
846ebfa525b994e2,rts_circle_red.mat,Tiny_6,119922682,7124
0f5baee6e7b628fc,rts_circle_red_big.mat,Tiny_6,119929806,7554
163ff5b9a50a5ead,rts_circle_bc1.dds,Folders/art/particles/monster_particles/league_expedition_7,922072,43852
1868b1d1fb1284d1,rts_circle_bc1.dds.header,Tiny_6,119921162,1520
b49d5b91860f9df6,rts_circlec.mat,Tiny_6,119937360,6826
970e388ad51bf46d,rts_circlec_big.mat,Tiny_6,119944186,7258
ec77ab71d8b004c1,plunger_highlightc.mat,Tiny_6,119919746,1416
7610e01c712c91eb,plunger_highlight_red.mat,Tiny_6,119918324,1422
8f0b26b13630aa98,noise_caustic_red.mat,Tiny_6,119908468,4930
9625adec56bb143d,noise_caustic_red_big.mat,Tiny_6,119913398,4926
8048eeac37e22b9b,noise_caustic_06_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_01,2447440,87556
9a2fd0729fa3824e,noise_caustic_06_dxt5.dds.header,Tiny_8,38230480,1520
8dcca85c6a9b688f,noise_caustic_06c.mat,Tiny_6,119898480,4996
5f120e066f3b1d4a,noise_caustic_06c_big.mat,Tiny_6,119903476,4992
094a1a99752a1d61,noise_caustic_04c.mat,Tiny_6,119891790,6690
70cdf94a7a5048e8,noise_caustic_04.dds,Folders/art/particles/monster_particles/skeleton,1246172,43852
a515ab6944981bf7,noise_caustic_04.dds.header,Tiny_8,12902072,1520
40065d975f259489,metal_rune.mat,Tiny_6,119886888,4902
defcb5e18dd6b371,marker_ringc.mat,Tiny_6,119883060,3828
1f429e704f5fb611,marker_center.mat,Tiny_6,119877986,3554
27afd5576171d49b,marker_center_dxt1.dds,Folders/art/particles/monster_particles/league_expedition_7,747148,174924
25c97d7ecec4b399,marker_center_dxt1.dds.header,Tiny_6,119881540,1520
fa28bba6233d70c5,linec.mat,Tiny_6,119874928,3058
9f02aa5f4c5431ab,line.dds,Tiny_8,36299370,332
01ca7d13ef23a977,line.dds.header,Tiny_8,36299702,1520
95154a91fbb61e9d,lightrays.mat,Tiny_6,119874390,538
b25d9dead4f1cec9,light_up.mat,Tiny_6,119871978,2412
a265004195af25b8,glow_hotspot.mat,Tiny_6,119865732,1434
59bb78d73eefb7d5,ground_tilesc.mat,Tiny_6,119867166,4812
1c06aa4cc6aaf11d,explosivesc.mat,Tiny_6,119862456,3276
df4b0f6028b8c39b,explosives_red.mat,Tiny_6,119859578,2878
638b2faaf5dd2220,explosives_normal_dxt5.dds,Folders/art/models/terrain/doodads/leagues/expedition,0,349700
f905eacda7c68ddb,explosives_normal_dxt5.dds.header,Tiny_6,119858058,1520
0734f0e111afad9d,black_wisps.mat,Tiny_6,119855124,2934
8570923f127eea64,black_wisps.dds,Art/Microtransactions/weapon_effects/lich_1,0,87556
38f4e667005d1888,black_wisps.dds.header,Tiny_7,58174498,1520
4e586db47921d90a,black_dxt5.dds,Folders/art/textures/pet/blackrat,0,22020
e8da4e7b904207de,black_dxt5.dds.header,Tiny_8,47208338,1520
6d5e7a121dd2987f,beam_flare_dxt5.dds,Folders/art/particles/flame_wall,0,87556
39cf2302a67575c3,beam_flare_dxt5.dds.header,Tiny_7,58845538,1520
