hash,file,bundle,offset,size
b42662dbdf74fc5f,leosweaponc.mat,Tiny_8,33744766,3242
95b41f18d84bb3e8,leosweapon_specular_dxt5.dds,Folders/art/textures/monsters/betrayal/0/weapon_textures,262536,87588
43756a0dcca8859a,leosweapon_specular_dxt5.dds.header,Tiny_8,33744262,504
acfce972f68fa69c,leosweapon_normal_dxt5.dds,Folders/art/textures/monsters/betrayal/0/weapon_textures,174948,87588
7f23464eacad9930,leosweapon_normal_dxt5.dds.header,Tiny_8,33743758,504
f257d62f540018f5,leosweapon_colour_dxt5.dds,Folders/art/textures/monsters/betrayal/6/weapon_textures,349896,87588
fff11baf27b80e86,leosweapon_colour_dxt5.dds.header,Tiny_8,33743254,504
171bfb01d69fd780,leosweapon_colour_bc7.dds,Folders/art/textures/monsters/betrayal/6/weapon_textures,349896,87588
99daef15fe388f1a,leosweapon_colour_bc7.dds.header,Tiny_8,33743254,504
d31ab1916d46461a,leosweapon_colour.dds,Folders/art/textures/monsters/betrayal/7/weapon_textures,0,43868
7ec2834eb6516fb0,leosweapon_colour.dds.header,Tiny_8,33742750,504
19e2e714ee14c39d,keemaweaponc.mat,Tiny_8,33738668,4082
1d63d5c3d8ff72f1,keemaweapon_specular_dxt5.dds,Folders/art/textures/monsters/betrayal/0/weapon_textures,0,174948
db0c6c8334b81dfa,keemaweapon_specular_dxt5.dds.header,Tiny_8,33737828,840
08b3b4a1f032eb3a,keemaweapon_normal_dxt5.dds,Folders/art/textures/monsters/betrayal/6/weapon_textures,174948,174948
466a6eb163bad72c,keemaweapon_normal_dxt5.dds.header,Tiny_8,33736988,840
e2f60bc749c146fd,keemaweapon_glow_dxt5.dds,Folders/art/textures/monsters/betrayal/7/weapon_textures,131416,174948
ed5dba3f29d64539,keemaweapon_glow_dxt5.dds.header,Tiny_8,33736148,840
5452738c6abd092d,keemaweapon_colour_dxt5.dds,Folders/art/textures/monsters/betrayal/6/weapon_textures,0,174948
56357f638ed54da4,keemaweapon_colour_dxt5.dds.header,Tiny_8,33735308,840
56a10afc52859c08,keemaweapon_colour_bc7.dds,Folders/art/textures/monsters/betrayal/6/weapon_textures,0,174948
d7d43b09c4ea990b,keemaweapon_colour_bc7.dds.header,Tiny_8,33735308,840
dcf1a13c5774f2ec,keemaweapon_colour.dds,Folders/art/textures/monsters/betrayal/7/weapon_textures,43868,87548
a790e8c3667cfa23,keemaweapon_colour.dds.header,Tiny_8,33734468,840
1e0a30eabcb1df06,grennsshieldc.mat,Tiny_8,33731178,3290
434d2f1ee536ea32,grennsshield_specular_dxt5.dds,Art/Textures/Monsters/Betrayal/weapon_textures,1223876,699236
0f5c093bdf4df226,grennsshield_specular_dxt5.dds.header,Tiny_8,33730338,840
86afdbfb5313077d,grennsshield_normal_dxt5.dds,Art/Textures/Monsters/Betrayal/weapon_textures,1048928,174948
9f1230458692177f,grennsshield_normal_dxt5.dds.header,Tiny_8,33729498,840
86846fc5340ed78f,grennsshield_colour_dxt5.dds,Art/Textures/Monsters/Betrayal/weapon_textures,349692,699236
35bf71939115a4f6,grennsshield_colour_dxt5.dds.header,Tiny_8,33728658,840
6420968a89ae3f8a,grennsshield_colour_bc7.dds,Art/Textures/Monsters/Betrayal/weapon_textures,349692,699236
5ca0e47daf09e1d9,grennsshield_colour_bc7.dds.header,Tiny_8,33728658,840
88553b756699a191,grennsshield_colour.dds,Art/Textures/Monsters/Betrayal/weapon_textures,0,349692
df63993f6e09aa68,grennsshield_colour.dds.header,Tiny_8,33727818,840
