hash,file,bundle,offset,size
9715e80b3cca50bd,uhtreds_chalice_pass.mat,Tiny.VD.1,173494744,15458
78e707b293b7e1e2,bodyspirals_r.mat,Tiny.VD.1,173427232,67512
35caa82dadceb625,bodyspirals_u.mat,Tiny.V2.1,175302022,2124
868168038fcec746,bodyglow_r.mat,Tiny.V6.1,171336351,41472
af00021beecb4d9d,bodyglow_u.mat,Tiny.V7.1,170665770,2928
f79949d407d3f159,eyes_r.mat,Tiny.V7.1,170668698,17912
bf7f3a5a53084919,eyes_u.mat,Tiny.V1.1,173563168,2348
51c70f7188a1e147,eyeribbons_u.mat,Tiny.V1.1,173529868,33300
0e57f80992238b1e,eyeribbons_r1.mat,Tiny.V4.1,174459474,32962
6cbca322a84f20eb,eyeribbons_r.mat,Tiny.VA.1,172297892,32994
