hash,file,bundle,offset,size
e49b1384bd1be4a9,chaos_blur_r.mat,Tiny.V0.1,44751626,13424
6fb82d3469b665a5,chaos_blur_u.mat,Tiny.VC.1,6195405,338
0e3e10ade772d2aa,chaos_caustics_r.mat,Tiny.V0.1,44765050,7776
9cb14ca5c8f65a94,chaos_caustics_u.mat,Tiny.VD.1,5332868,346
d3afe476c25e0079,chaos_ring_shimmer_r.mat,Tiny.VA.1,45166610,25724
92657af559281678,chaos_ring_u.mat,Tiny.V1.1,170974072,2208
f805b94b03240fcb,chaos_ember_r.mat,Tiny.V2.1,172702552,29392
acbf9c9bfeb1bc33,chaos_embers_u.mat,Tiny.V9.1,172375786,9488
8001db898ce28cec,chaos_flare_r.mat,Tiny.V0.1,170790170,22396
623853e2becba119,chaos_flare_u.mat,Tiny.VD.1,5332868,346
1a31fc9d93af23a0,chaos_flash_r.mat,Tiny.VA.1,170263182,21206
dfb0585f8acff390,chaos_flash_u.mat,Tiny.VD.1,5332868,346
13100891b70d497a,chaos_swirls_r.mat,Tiny.V2.1,172731944,43728
97be85db04b9f07a,chaos_swirls_u.mat,Tiny.VD.1,5332868,346
81e41288da8220f8,chaos_sphere_r.mat,Tiny.V8.1,172182008,29138
641fb00e91c341b6,chaos_sphere_u.mat,Tiny.VD.1,5332868,346
