hash,file,bundle,offset,size
18bf78c5a49a8276,ringspark.mat,Tiny.VD,5731218,3594
1ce828645ffda611,point_release_add.mat,Tiny.V7,5756875,2326
4c434ba70bcce0da,flash_mid.mat,Tiny.V6,35301881,1542
d13f3b0709acb760,light_gradient.mat,Tiny.VA,5901348,1258
e5e7e0cdb061f447,light_gradient_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/D612C6B7BA33E5AA.CAE58C92B230AD8B.wisp_close.trl,656244,87556
223cb2cc2c543741,light_gradient_dxt5.dds.header,Tiny.V8,5757688,1520
863237887bea3f08,bulbs.mat,Tiny.V7,5754587,2288
7300c44d7596b299,bloom_flash.mat,Tiny.V1,5806558,1968
073138ca450f439c,beam_flare.mat,Tiny.V4,6011715,1870
6cbe2bbb3f20f465,sharp_trail.mat,Tiny.V0,5996359,2592
fc5217590298d4a3,swirl.mat,Tiny.VD,5734812,1566
b8c84b460eb4ebaa,swirl_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/D612C6B7BA33E5AA.CAE58C92B230AD8B.wisp_close.trl,743800,87556
c0ea6e2e10e0a693,swirl_dxt5.dds.header,Tiny.V5,5849547,1520
c8686c9774807884,static02_7x7.mat,Tiny.V6,5819937,2648
ac07c5384996b2c2,staff_mask_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/2313C091983B2046.rig.ao.1,1747976,349700
42a8958cb3d2e8dc,staff_mask_dxt5.dds.header,Tiny.VC,5830244,1520
c70adf2d6e36e6ae,mask_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/2313C091983B2046.rig.ao.1,1398276,349700
45411ae533a1e1f0,mask_dxt5.dds.header,Tiny.VF,5897425,1520
3728e4b404d749f6,crusaderapparitionweaponc.mat,Tiny.V1,5808526,6894
ed486e6a476ff266,crusaderapparitionweapon_specular_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/2313C091983B2046.rig.ao.1,0,1398276
99c99a50ff79a640,crusaderapparitionweapon_specular_dxt5.dds.header,Tiny.V5,5848027,1520
97cb6d798f8059cb,crusaderapparitionweapon_normal_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/2313C091983B2046.rig.ao,1398276,1398276
99f92c7f6a28616e,crusaderapparitionweapon_normal_dxt5.dds.header,Tiny.V9,5959784,1520
7e9e53f594b661eb,crusaderapparitionweapon_colour_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/2313C091983B2046.rig.ao,0,1398276
4b737689c284c7c7,crusaderapparitionweapon_colour_dxt5.dds.header,Tiny.V9,5958264,1520
