hash,file,bundle,offset,size
afb684e9379e1a02,wave_splashes_r.mat,Tiny.V9.1,103955102,61022
7c57ad3ad7f08468,wave_splashes_u.mat,Tiny.V0.1,100729320,22500
c05ed2f741b8ecec,ringsmoke_r.mat,Tiny.V6.1,100836049,29324
c5b8100ae7fd8882,ringsmoke_u.mat,Tiny.V8.1,25334840,16378
f4537d921652a9b8,bluroomph_r.mat,Tiny.VA.1,23419730,8640
7f70d5d641735a34,bluroomph_u.mat,Tiny.VE.1,12548232,310
e1ea111c91319221,slamsparks_r.mat,Tiny.VC.1,26112447,34148
06289ebabf6746d5,slamsparks_u.mat,Tiny.V1.1,22551358,27398
f75a3baf0adec69c,slambluroomph_r.mat,Tiny.VC.1,102604519,16280
094888d978d823a5,slambluroomph_u.mat,Tiny.V7.1,89588552,2148
25cfdd31608b7c16,slam_smallrocks_r.mat,Tiny.V0.1,76313232,7534
0cc2ff4c51215f34,slam_smallrocks_u.mat,Tiny.V0.1,100712286,17034
30a7cf3a682af8af,slam_grddecal_r.mat,Tiny.V0.1,100691554,20732
fba5b819e8aa59f5,slam_grddecal_u.mat,Tiny.VD.1,5313278,346
7cceecf3c3e8837d,slam_windwave_r.mat,Tiny.V4.1,23574690,51060
1f14b362a3fc92ba,slam_windwave_u.mat,Tiny.V0.1,32335866,2208
2b915200699adff9,impactwave_r.mat,Tiny.VD.1,105378290,43382
de638220fd690f90,impactwave_u.mat,Tiny.VE.1,12548232,310
050a418c2db5d737,impactembers_r.mat,Tiny.V1.1,99921070,22622
d64dc964a68df288,impactembers_u.mat,Tiny.V1.1,99943692,18850
0a1a0f1d5d3973eb,flashimpact_u.mat,Tiny.V2.1,68325908,3768
0e44445232459212,flashimpact_r1.mat,Tiny.V2.1,23947896,38396
c36453b659372fd6,flashimpact_r2.mat,Tiny.V4.1,23545274,29416
259d942d98ac0123,debris_r1.mat,Tiny.V6.1,100824097,11952
e1e1801a28a38fbc,debris_u1.mat,Tiny.V0.1,100672344,19210
adb4930ab583ea6b,debris1_render.mat,Tiny.V4.1,99910436,18058
ce1518dce88f3b3d,debris1_update.mat,Tiny.V9.1,103935736,19366
