hash,file,bundle,offset,size
fc9030d5185f0079,vfx_icewalldirectional01_normal.dds,Folders/art/particles/fxlib/pbr_D2,875708,87556
d19f27b65fb33a02,vfx_icewalldirectional01_normal.dds.header,Tiny_6,31411707,1520
ea8242cf55cfddb5,tile_01_rgb.dds,Folders/art/particles/grd_zones,288216,87556
ac9049ef0d717641,tile_01_rgb.dds.header,Tiny_6,31410187,1520
6d6c1a0e986b5b31,tile_01_naog.dds,Folders/art/particles/grd_zones,200660,87556
4e81980c75c67a59,tile_01_naog.dds.header,Tiny_6,31408667,1520
677dab817b29bd72,rock_02_normal.dds,Folders/art/particles/fxlib/pbr_D2,788152,87556
24059b632d2928bd,rock_02_normal.dds.header,Tiny_6,31407147,1520
fa007ec976e7bcb4,rock_01_nmlao.dds,Folders/art/particles/fxlib/pbr_D2,700596,87556
584d460f92329660,rock_01_nmlao.dds.header,Tiny_6,31405627,1520
bc8cc1762e38d3de,rock_01_clr.dds,Folders/art/particles/fxlib/pbr_D2,656744,43852
9c51deef33178c1c,rock_01_clr.dds.header,Tiny_6,31404107,1520
faa5b709f0d31100,petals_atlas_01_normalaorough.dds,Folders/art/particles/fxlib/pbr_D2,569188,87556
6c8d542b4be3d3b5,petals_atlas_01_normalaorough.dds.header,Tiny_6,31402587,1520
b53e0eaf6b35a0c8,petals_atlas_01_colour.dds,Folders/art/particles/fxlib/pbr_D2,481632,87556
01f6b1cd055fe1bb,petals_atlas_01_colour.dds.header,Tiny_6,31401067,1520
0dc67b1e06332fad,gates_caverock_tkhgcesg_normalaorough.dds,Folders/art/particles/fxlib/pbr_D2,394076,87556
83b8a7f1b8d4859b,gates_caverock_tkhgcesg_normalaorough.dds.header,Tiny_6,31399547,1520
e3504b932b504637,gates_caverock_tkhgcesg_colour.dds,Folders/art/particles/fxlib/pbr_D2,350224,43852
dc56f54770994f31,gates_caverock_tkhgcesg_colour.dds.header,Tiny_6,31398027,1520
15f92cc4e8e3d9b8,crktile03_nmlao.dds,Folders/art/particles/fxlib/pbr_D2,262668,87556
98ec41d0b43f0e7b,crktile03_nmlao.dds.header,Tiny_6,31396507,1520
d16362642ee797c3,crktile01_nmlao.dds,Folders/art/particles/fxlib/pbr_D2,175112,87556
a920f775ecea2f3c,crktile01_nmlao.dds.header,Tiny_6,31394987,1520
c30aa1badac6312f,crackle_paint.dds,Folders/art/particles/fxlib/pbr_D2,87556,87556
746be547bb542993,crackle_paint.dds.header,Tiny_6,31393467,1520
0677e2d30f94b95e,bloodflow_normalaogloss.dds,Folders/art/particles/fxlib/pbr_D2,0,87556
64e2d3c986b5abde,bloodflow_normalaogloss.dds.header,Tiny_6,31391947,1520
632c12b2e3b7689f,agg_festivalpetalsatlas01_normal.dds,Folders/art/microtransactions/character_fx/foliate,663206,87556
7c308f245758a660,agg_festivalpetalsatlas01_normal.dds.header,Tiny_6,31390427,1520
c1026dc8b1a20ff3,agg_festivalpetalsatlas01_colour.dds,Folders/art/particles/fxlib/pbr_C2,2119508,87556
075c31d908d59d94,agg_festivalpetalsatlas01_colour.dds.header,Tiny_6,31388907,1520
