hash,file,bundle,offset,size
3a2f0f1ec3ab911e,pyramid_bloodyskin_01_r.mat,Tiny.VD.1,193720667,14750
302131c514eb3f70,impact_blooddroplets_01_u.mat,Tiny.V0.1,194679788,13584
20216b6b132c9b8b,impact_pointglow_01_r.mat,Tiny.VC.1,198164929,12610
8407cd2db3349dff,impact_pointglow_01_u.mat,Tiny.VD.1,5313278,346
69a0b012a2287647,impact_pointdistort_01_r.mat,Tiny.VD.1,193707373,13294
ef00b1186a4f5f34,impact_pointdistort_01_u.mat,Tiny.V8.1,194523550,2208
e9d79cd7ef119723,end_pointdistort_01_r.mat,Tiny.VC.1,100926113,13222
9ba21bed0f0879e2,end_pointdistort_01_u.mat,Tiny.VD.1,5313278,346
c69cd0a1ea03ccd1,gather_buildribbon_r.mat,Tiny.V2.1,195868962,35264
dbae35fa5ae659f8,gather_buildribbon_ground_r1.mat,Tiny.VD.1,193683007,24366
1365fda257479ce3,gather_buildribbon_u.mat,Tiny.V2.1,195904226,31618
d2252917f8a09847,gather_bloodpyramid_end_01_r.mat,Tiny.VA.1,194397668,42990
903692dd6851ec39,gather_bloodpyramid_01_r.mat,Tiny.V5.1,191725686,42492
eda00e93551c4b86,gather_bloodpyramid_01_u.mat,Tiny.VD.1,5313278,346
3c2ed00e26cf59a6,beam_muzzlering_01_r.mat,Tiny.V7.1,191500949,52884
2b137a24cda147cc,beam_muzzlering_01_u.mat,Tiny.VB.1,127036667,1386
41655404f480699d,beam_shimmer_01_r.mat,Tiny.VB.1,193463301,17068
e4c7c5269509228d,beam_shimmer_01_u.mat,Tiny.VC.1,198153965,10964
97af51ca5af29c53,beam_bloodsplash_01_r.mat,Tiny.V8.1,194468812,54738
72e135eeec2954ea,beam_bloodsplash_01_u.mat,Tiny.V0.1,194664288,15500
8424b982feb9a60f,beam_bloodstreak_02_u.mat,Tiny.V2.1,195865256,3706
1495246f367b9e4f,beam_bloodstreak_01_r.mat,Tiny.V3.1,195587407,70574
07ec89414ad17780,beam_bloodstreak_01_u.mat,Tiny.VB.1,193459589,3712
870fa21717bafcdf,beam_blooddroplets_ground_01_r.mat,Tiny.V8.1,194440760,28052
db50eb14b81c1442,beam_blooddroplets_01_r.mat,Tiny.VE.1,191862152,24416
c1d3e2b887b1610e,beam_blooddroplets_01_u.mat,Tiny.V0.1,194650696,13592
1be14a6b1266adb8,basebeam_spiral_01_r3.mat,Tiny.V1.1,192387714,32762
6a7c65cdab729cff,basebeam_01_u.mat,Tiny.V4.1,193278950,3882
ac53355b03a470c2,basebeam_01_r.mat,Tiny.VC.1,198098687,55278
8bedf28e23504f9b,basebeam_01_r1.mat,Tiny.V6.1,193459039,54748
15adfed8fd74be10,basebeam_01_r2.mat,Tiny.V2.1,195841024,24232
