hash,file,bundle,offset,size
63002e82569e8601,glow_hands.mat,Tiny.V8.1,105317928,6118
593e40249c3ccca8,radiance_01_update.mat,Tiny.VB.1,105031041,2110
2a874aa82cb4232f,bu_droplets_r.mat,Tiny.VC.1,107885629,22576
7251c6dcea3bf9d3,bu_droplets_u.mat,Tiny.VE.1,105400404,14060
8d17d9f545a4b55f,surge_ribbons_r.mat,Tiny.V6.1,106599027,29028
4537151a43af844d,surge_ribbons_u.mat,Tiny.VD.1,104795436,20746
edf4e62d3c5124c2,mblur_sphere_r.mat,Tiny.VC.1,107684657,9976
c3b1b00e7b6b69ec,mblur_sphere_u.mat,Tiny.VC.1,107694633,2178
31cec91ff401c682,water_sucked_up_render.mat,Tiny.V1.1,104171868,31092
decc62d736b57085,water_sucked_up_update.mat,Tiny.VD.1,5322818,346
fa1d88e5c2c52d91,water_drops_sphere_render.mat,Tiny.V2.1,107570598,32614
b7de2529f17d6b6b,water_drops_sphere_update.mat,Tiny.V7.1,102990104,2144
