hash,file,bundle,offset,size
0817aaf559808711,ssr_glow_dxt1.dds,Streaming/Content/art/microtransactions/head/horn_antlers/hornsnature.fmt,706084,174924
218e700d072a61c6,ssr_glow_dxt1.dds.header,Tiny.VD,44649882,1520
7d076f895644ad9a,dreadspireportalc.mat,Tiny.V2,44553811,8298
44c0e7050472cbec,dreadspireportalfxc.mat,Tiny.V4,45197612,5264
f1bfbcaf45197c87,dreadspireportalfx_colour.dds,Tiny.V5,44256747,172
69aa40e8adc631b5,dreadspireportalfx_colour.dds.header,Tiny.VC,44818398,240
d6ee8b42176ed19f,dreadspireportal2c.mat,Tiny.VA,44760272,4112
659581a6b186f15a,dreadspireportal2_colour.dds,Tiny.VF,44726928,172
551923e9f8f51e2d,dreadspireportal2_colour.dds.header,Tiny.V3,44061940,240
b72389d9e202541a,dreadspireportal_glow_dxt5.dds,Streaming/Content/art/microtransactions/town_portal/dreadspireportal/dreadspireportal.fmt.1,0,349700
20ee257a4159f212,dreadspireportal_glow_dxt5.dds.header,Tiny.VF,44728620,1520
bcf1e3a9ba1693e9,dreadspireportal_metal_dxt5.dds,Streaming/Content/art/microtransactions/town_portal/dreadspireportal/dreadspireportal.fmt.1,349700,1398276
586da40b8bc711fd,dreadspireportal_metal_dxt5.dds.header,Tiny.V9,45205293,1520
116d0aeb189fafba,dreadspireportal_normal_dxt5.dds,Streaming/Content/art/microtransactions/town_portal/dreadspireportal/dreadspireportal.fmt.1,1747976,1398276
a7e64a6123a98e00,dreadspireportal_normal_dxt5.dds.header,Tiny.V8,44205702,1520
4676894c9d5b2990,dreadspireportal_normal_bc1.dds,Streaming/Content/metadata/effects/microtransactions/weapon_effects/985CE4FE6B3AE9A7.5C452FF8D57CC36C.sword.epk,0,699212
01982e2d1292d4bc,dreadspireportal_normal_bc1.dds.header,Tiny.V5,44255227,1520
a86ac571d7a92cf5,dreadspireportal_colour_dxt5.dds,Streaming/Content/art/microtransactions/town_portal/dreadspireportal/dreadspireportal.fmt,1048912,1398276
a287f8d51a9dd83b,dreadspireportal_colour_dxt5.dds.header,Tiny.VA,44764384,1520
b9209062e66a9df9,dreadspireportal_colour_bc1.dds,Streaming/Content/art/microtransactions/town_portal/dreadspireportal/dreadspireportal.fmt,349700,699212
12ed231c57459e70,dreadspireportal_colour_bc1.dds.header,Tiny.VF,44727100,1520
