hash,file,bundle,offset,size
bbf8a2b03c5b2cc2,darkstarstaff.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,499061,70376
6e2ae2b8bc3dd253,darkstarstaff.fmt.header,Tiny_2,59963955,615
225b8e6b02db9e43,darkstardaggers.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,475307,23754
715a0d2354a91eb7,darkstardaggers.fmt.header,Tiny_2,59963380,575
a26a18f415fbc580,darkstarclaws.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,452571,22736
7df8e8cddae1d632,darkstarclaws.fmt.header,Tiny_2,59962801,579
4a23e8133e08d5c5,darkstarbow.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,191914,85696
2ca3c866cced06cd,darkstarbow.fmt.header,Tiny_2,59958658,775
490ca14f95814ce0,darkstar2hsword.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,165142,26772
3de8e3b036c79c20,darkstar2hsword.fmt.header,Tiny_2,59958071,587
d85f21fb9cdd03ce,darkstar2haxe.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,104972,60170
81eb6d1ebefab659,darkstar2haxe.fmt.header,Tiny_2,59957492,579
96e3ca5c1ccd27d0,darkstar1hsword.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,58988,45984
dc7e5117639d074a,darkstar1hsword.fmt.header,Tiny_2,59956905,587
e576aafb41af91ce,darkstar1haxe.fmt,Folders/art/models/items/weapons/microtransactions/darkstarweapons,0,58988
cabeeba860d00e23,darkstar1haxe.fmt.header,Tiny_2,59956326,579
