hash,file,bundle,offset,size
0d1d200c03f4db30,impact.pet,Tiny.V2.1,136599576,76072
ddccaedd2642899b,soul_suck_wisps.pet,Tiny.V5.1,133550774,7028
df41245d4a9d4b09,attack.pet,Tiny.V5.1,133449520,24680
557098d096b94cdb,projectile_soulburst.pet,Tiny.V8.1,134918260,13130
efd2ecd2dbe9e024,projectileimpactfire.pet,Tiny.VA.1,134156586,75282
2cee9ffe8e21917d,witheringgroundparticles.pet,Tiny.VE.1,133550460,24780
68695ec700d94f7d,witheringgrouddecal.pet,Tiny.V4.1,134004822,6186
f7bce7b249c4215b,deathkickup.pet,Tiny.V7.1,131302718,61488
59c9be621ea22899,dischargeimpact.pet,Tiny.V5.1,133474200,76574
40f45a6b045a87cc,dust_legs.pet,Tiny.V9.1,134690748,12204
ede62ac619d8a4c6,dust.pet,Tiny.V0.1,133933614,6068
26eab4aae017a9e6,onact_attack.pet,Tiny.VC.1,135505573,6908
7e0a6cdc8b9c83a9,onact_soulburst.pet,Tiny.V6.1,133845657,60172
8dd49e50d6b34f36,onact_emerge_line.pet,Tiny.V3.1,134359015,21642
398b86328cadafc8,onact_dischargerelease.pet,Tiny.V4.1,133954916,49906
25cb60e17dcd6470,onact_discharge.pet,Tiny.V7.1,131364206,40612
