hash,file,bundle,offset,size
f0a71f277e426ec3,swooshysmoke_smallc.mat,Tiny_6,52761403,2166
6a7cdb765ade8f74,swooshysmoke_small.dds,Art/particles/monster_particles/act2_boss_3,2733240,87556
87ddd43f2f0a9fa1,swooshysmoke_small.dds.header,Tiny_6,52759883,1520
ac5ee39dfff49110,shockwave.mat,Tiny_6,52758407,1476
3351028689bc9a62,shockwave.dds,Art/particles/monster_particles/act2_boss_3,3083332,87556
af52b19e147d0eb0,shockwave.dds.header,Tiny_6,52756887,1520
2111fb3cf52b2e13,particle_out_flipbook.mat,Tiny_6,52755311,1576
5fdef8707a3b2b61,particle_out_flipbook.dds,Art/particles/monster_particles/act2_boss_3,2995744,87588
f8068c4256024236,particle_out_flipbook.dds.header,Tiny_6,52754807,504
ef59e437ee94bafc,light_gradient_bossend.mat,Tiny_6,52748405,1262
fdc36f973f5ee04d,light_gradient_bossend.dds,Art/particles/monster_particles/act2_boss_3,1399324,87556
989f6b7d1700b6b6,light_gradient_bossend.dds.header,Tiny_6,52746885,1520
9617ae4e19676eb8,lightning_boltsc.mat,Tiny_6,52752337,2470
3de0d40e815e469f,lightning_bolts.dds,Art/particles/monster_particles/act2_boss_3,2033940,699300
be30dee631bdc9a1,lightning_bolts.dds.header,Tiny_6,52751993,344
5721ac1608479289,lightning_bal.mat,Tiny_6,52750171,1822
3c2b8d6057303004,lightning_bal.dds,Art/particles/monster_particles/act2_boss_3,1683848,87588
8c3be7372fa13626,lightning_bal.dds.header,Tiny_6,52749667,504
7e6121ec95c2a7fb,glow_baclc.mat,Tiny_6,52744807,2078
0d6d205932349434,glow_bacl.dds,Art/particles/monster_particles/act2_boss_3,1771436,174948
1f7020e94fcfc450,glow_bacl.dds.header,Tiny_6,52743967,840
6780f18d1d1a14f8,darkness_scrollingc.mat,Tiny_6,52741437,2530
da1d53e465e7261c,darkness_scrolling.dds,Art/particles/monster_particles/act2_boss_3,1946384,87556
7e5ab91ff68125bc,darkness_scrolling.dds.header,Tiny_6,52739917,1520
8ea001aef5b8088a,coldspark.mat,Tiny_6,52738733,1184
0ac6dc5d002e07cc,coldspark.dds,Art/particles/monster_particles/act2_boss_3,1661828,22020
70a4857b80595b59,coldspark.dds.header,Tiny_7,6232910,1520
cadf6338128b210e,beam_tempc.mat,Tiny_6,52736287,2446
e25989b4c95fb5c5,beam_temp.dds,Art/particles/monster_particles/act2_boss_3,2820796,174948
9731fc4e8257bf25,beam_temp.dds.header,Tiny_6,52735447,840
459caa5e06053ef1,beam_geoc.mat,Tiny_6,52732723,2724
05fef21370e65473,beam_geo.dds,Art/particles/monster_particles/act2_boss_3,1486880,174948
c21c4247dbb1ef7d,beam_geo.dds.header,Tiny_6,52731883,840
