hash,file,bundle,offset,size
32a0ab0b11d82d99,emerge_core_03_r.mat,Tiny.V0.1,101364414,71986
1f808d3a8b6085f4,emerge_core_01_u.mat,Tiny.V3.1,100178219,2156
0d22cfa469777ac1,emerge_grainsburst_01_r.mat,Tiny.V2.1,93488154,31226
ecb4d9ca60d07ca2,emerge_grainsburst_01_u.mat,Tiny.V7.1,150504252,11288
1d707581c13f5e0a,emerge_spray_01_r.mat,Tiny.V0.1,158721078,19810
7c6f0237c4bc3817,emerge_spray_01_u.mat,Tiny.VD.1,98902286,10750
14af96c99351255d,emerge_splash_01_r.mat,Tiny.VF.1,151621870,54838
410d850fc9c79bfd,emerge_splash_01_u.mat,Tiny.V4.1,152021232,25592
765ad22061a39662,emerge_shimmerwave_01_r.mat,Tiny.VC.1,162603231,23558
e356ebba8bf19087,emerge_shimmerwave_01_u.mat,Tiny.V7.1,97940628,2160
5744a395c85f089f,emerge_smokering_01_r.mat,Tiny.V7.1,150515540,19354
0b8338ef0fd01011,emerge_smokering_01_u.mat,Tiny.VD.1,153071610,12128
cb9cb3f93bad3c31,emerge_decal_01_r.mat,Tiny.VE.1,151054278,28430
be1bdc223880463d,emerge_decal_01_u.mat,Tiny.V5.1,4569764,576
da044561c1678b0b,emerge_debris_01_r.mat,Tiny.V1.1,151961548,40906
ee52c851814dfbe7,emerge_debris_01_u.mat,Tiny.V6.1,148015657,28290
f82f52d1d9c3f386,emerge_debris_02_r.mat,Tiny.V3.1,24816597,30194
27421283e88326df,emerge_debris_02_u.mat,Tiny.V0.1,152030932,22570
918843476455b183,emerge_blurup_01_r.mat,Tiny.V8.1,132525172,36474
8dc262bf19c1963d,emerge_blurup_01_u.mat,Tiny.V2.1,110171670,2208
06189a59fb56ecce,seg_blurup_01_u.mat,Tiny.V7.1,150534894,2208
1108cc7d1a962bb3,seg_splash_01_r.mat,Tiny.V7.1,150564106,54838
5a40553d92af8687,seg_splash_01_u.mat,Tiny.VA.1,152289754,26442
bc62e34f227f9b4c,seg_debris_02_u.mat,Tiny.V7.1,150537102,27004
f8e2bfb7eb9cd9e6,seg_debris_01_u.mat,Tiny.VF.1,150461114,25112
072f3cc8bd8855b7,seg_dust_01_r.mat,Tiny.VB.1,152906405,19076
d5d6fa52dfd3b52c,seg_dust_01_u.mat,Tiny.VD.1,152946210,19780
