hash,file,bundle,offset,size
b194f54b41372379,hangchaincoil01.sm,Tiny.VC,14561779,688
8ad3acd9bbc0ef89,hangchaincoil01_armour_2c2ca904.smd,Streaming/Content/metadata/terrain/doodads/desert/DB3CD9B4C2B419A5.dreadropestand01.ao,60332,279281
8448cb6f5f366641,hangchaincoil01_armour_2c2ca904.smd.header,Tiny.V4,14868431,371
3ee0fec4a000b175,hangropecoil01.sm,Tiny.V8,14675008,666
803612550c54412a,hangropecoilalt01.sm,Tiny.VE,14559171,854
a86e52f24785f631,hangropecoilalt01_armour_11edb3a6.smd,Streaming/Content/metadata/terrain/doodads/desert/EAD9EBF807892ADC.assembly_junk_04.ao,420516,57773
d1c56a51a3eb2974,hangropecoilalt01_armour_11edb3a6.smd.header,Tiny.V9,14848674,421
1372d4f94abe26e7,rig_f37e93de.smd,Streaming/Content/metadata/terrain/doodads/desert/273647574C993F4A.padestallbase01.ao,327398,48365
7cc0e16f29c2613c,rig_f37e93de.smd.header,Tiny.VC,14562467,333
da42dd031cf91b91,rig.amd,Tiny.VE,9682635,134
305b8ddcdbeb5b2c,rig.ast,Tiny.VA,14660084,370
