hash,file,bundle,offset,size
fffa0967e1595f61,floor_verisium_mid_r.mat,Tiny.V3.1,151952449,38264
f0b77018e8037e8b,blobs_r.mat,Tiny.VF.1,148907944,6198
a2a9a8e2cae4dac3,blobs_u.mat,Tiny.V1.1,150589912,8124
bad420b1f22a64a5,blast_shockwaveblur_01_r.mat,Tiny.V8.1,151306490,11730
6ad70d98cd53488e,blast_shockwaveblur_01_u.mat,Tiny.VD.1,5313278,346
f5e7807359d9bf78,zoom_distort_r.mat,Tiny.VC.1,153326127,12326
65eacb4a4e974ca4,zoom_distort_u.mat,Tiny.VC.1,153338453,2180
f55e95b3cc92ea98,verisium_sprites_r.mat,Tiny.VB.1,151185875,47038
934681d8c17f13f8,verisium_sprites_u.mat,Tiny.V4.1,150087022,9354
200f3cb15c2800dd,explode_splash_01_r.mat,Tiny.VB.1,151128611,57264
84a86bce84a11b74,explode_splash_01_u.mat,Tiny.VF.1,148325028,32806
2c0a5e75c145c4c0,env_dust_spiralin_u.mat,Tiny.V5.1,10484936,4792
d7c96cde9afa2f92,env_dust_spiralin_r.mat,Tiny.VC.1,210993550,39738
3edc6fbb1e4e3f7f,env_dust_spiralin_r2.mat,Tiny.V7.1,11200088,18642
67d66b13b7aa366b,wave_r.mat,Tiny.V1.1,150613956,44918
dd7bab2939bc6062,wave_u.mat,Tiny.V9.1,152314010,4416
7640eb196765fc4d,rocksin_r.mat,Tiny.V0.1,149940916,13694
093372189c2e52f7,rocksin_u.mat,Tiny.V3.1,152110935,23118
bc013ff9ff7d1d8e,dustin_r.mat,Tiny.VC.1,153288021,34868
70ec8fb8f9d843cc,dustin_u.mat,Tiny.V5.1,150100948,12866
fee1c5f21a365ef6,dirtbitsin_r.mat,Tiny.V6.1,150258767,13042
a25bc5cf6df88514,dirtbitsin_u.mat,Tiny.V8.1,151318220,15114
0a46db279658f42c,distortion_aura_r.mat,Tiny.VC.1,153230035,57986
5518fed2fc6d84c2,distortion_aura_u.mat,Tiny.VD.1,150352128,2650
f7e0bd8a0ae8a077,suckin_ribbon_u.mat,Tiny.V4.1,140673378,20840
342c833e748b5163,suckin_ribbon_r.mat,Tiny.VE.1,149024254,54008
4d1eced1e8be0905,suckin_ribbon_r2.mat,Tiny.V9.1,142234912,34546
2ff6c77f61732a5e,suckin_windforce_r.mat,Tiny.V7.1,147764606,46948
642b565a3041a738,suckin_windforce_mblur_r.mat,Tiny.VE.1,187112276,41178
647b9e86869768bd,suckin_windforce_u.mat,Tiny.VF.1,148455878,3246
072dca981c8305f9,portal_core_r.mat,Tiny.VA.1,150572746,67438
9e7af1261c6dc37d,portal_core_dark_r.mat,Tiny.V3.1,151990713,120222
0fafa79d27e025aa,portal_core_verisium_r.mat,Tiny.VF.1,148382174,73704
8de98dc2a115881b,portal_core_u.mat,Tiny.VC.1,153322889,3238
b6a900402ceaaa67,mblur_sphere_r.mat,Tiny.V1.1,150598036,15920
f7072a6bcec80962,mblur_sphere_u.mat,Tiny.V1.1,205077724,2144
636a0f386016c7f8,mirror_shards_r.mat,Tiny.V0.1,149892958,47958
ff36dd4b6a91925f,mirror_ripplesblur_r.mat,Tiny.VF.1,148357834,24340
23e4370f9ac4a601,mirror_ripples_r.mat,Tiny.V6.1,150271809,35234
6c501f3ffa8ef6b9,mirror_ripples_u.mat,Tiny.VD.1,5313278,346
