hash,file,bundle,offset,size
fe04e43895dba190,incashadowmonster.sm,Tiny_3,3936400,800
ac40a8c3250c937e,rig_08ce1a56.smd,Art/Models/MONSTERS/IncaShadowMonster_1,0,189598
672e49eab434ef4b,rig_08ce1a56.smd.header,Tiny_3,3941600,368
9742e40007271e72,rig.amd,Tiny_3,3938186,3414
a1875fdb20b9827a,rig.ast,Art/Models/MONSTERS/IncaShadowMonster,109274,1143111
a5ba9686ecfcd305,meathand_0bcf25e3.smd,Art/Models/MONSTERS/IncaShadowMonster,90960,18314
994318513a2bec35,meathand_0bcf25e3.smd.header,Tiny_3,3931321,368
eb19b6904f85b401,meathands.sm,Tiny_3,3937556,630
908d82a63902e408,meathands.amd,Tiny_3,3933766,86
8b017c087053efba,meathands.ast,Tiny_3,3937200,356
aef64ea18f0ab90b,clawhand_504346f0.smd,Art/Models/MONSTERS/IncaShadowMonster,41098,31548
c6572f7648fc03bc,clawhand_504346f0.smd.header,Tiny_3,3930953,368
051b1800c4af28cf,clawhand.sm,Tiny_3,3935672,728
11085c8ba5b9e4f6,clawhand.amd,Tiny_7,37220273,94
6216c6d8b59c205f,clawhand.ast,Tiny_3,3935046,626
deb632f4d582ca88,bonehand_c254e7dd.smd,Art/Models/Effects/monster_effects/AtlasofWorldsBoss/MapBosses,127292,20580
94df49307d242711,bonehand_c254e7dd.smd.header,Tiny_3,3934678,368
20795ba4cd47499f,bonehand.sm,Tiny_3,3934222,456
c7a3c4f474f7b421,bonehand.amd,Tiny_3,3933766,86
685279c6da58d681,bonehand.ast,Tiny_3,3933852,370
567c40646dc9b55d,atzirioversoulmonster.sm,Tiny_3,3932928,838
e87175fd6689a953,atzirioversoulmeathand_4b1a4c4f.smd,Art/Models/MONSTERS/IncaShadowMonster,72646,18314
710c965dedd765fc,atzirioversoulmeathand_4b1a4c4f.smd.header,Tiny_3,3931321,368
2742be725602f090,atzirioversoulmeathands.sm,Tiny_3,3932238,690
cc9840ac642f68ba,atzirioversoulmeathands.amd,Tiny_6,39739585,96
0f46f999c32eabd0,atzirioversoulmeathands.ast,Tiny_3,3931689,549
8e1ba8aa32d360ce,atzirioversoulclawhand_504346f0.smd,Art/Models/MONSTERS/IncaShadowMonster,41098,31548
ec881ab87cc92842,atzirioversoulclawhand_504346f0.smd.header,Tiny_3,3930953,368
616d96450dca2f88,atzirioversoulclawhand.sm,Tiny_3,3930151,802
e5f55d99716e1504,atzirioversoulclawhand.amd,Tiny_6,1453691,102
400b823206709838,atzirioversoulclawhand.ast,Tiny_3,3929553,598
8419603bfb550407,atzirioversoulbonehand_ee7a77cf.smd,Art/Models/MONSTERS/IncaShadowMonster,0,41098
3c50545efbc5bec4,atzirioversoulbonehand_ee7a77cf.smd.header,Tiny_3,3929185,368
9c18162c826f0f66,atzirioversoulbonehand.sm,Tiny_3,3928523,662
05cc79c123a2c383,atzirioversoulbonehand.amd,Tiny_6,39739585,96
4070357973d0c066,atzirioversoulbonehand.ast,Tiny_3,3927691,832
