hash,file,bundle,offset,size
afb684e9379e1a02,wave_splashes_r.mat,Tiny.V9.1,103959238,61022
7c57ad3ad7f08468,wave_splashes_u.mat,Tiny.V0.1,100692202,22500
c05ed2f741b8ecec,ringsmoke_r.mat,Tiny.V6.1,100837677,29324
c5b8100ae7fd8882,ringsmoke_u.mat,Tiny.V8.1,25340490,16378
f4537d921652a9b8,bluroomph_r.mat,Tiny.VA.1,23427394,8640
7f70d5d641735a34,bluroomph_u.mat,Tiny.VE.1,12556962,310
e1ea111c91319221,slamsparks_r.mat,Tiny.VC.1,26073847,34148
06289ebabf6746d5,slamsparks_u.mat,Tiny.V1.1,22565970,27398
f75a3baf0adec69c,slambluroomph_r.mat,Tiny.VC.1,102565919,16280
094888d978d823a5,slambluroomph_u.mat,Tiny.V7.1,89606042,2148
25cfdd31608b7c16,slam_smallrocks_r.mat,Tiny.V0.1,76276114,7534
0cc2ff4c51215f34,slam_smallrocks_u.mat,Tiny.V0.1,100675168,17034
30a7cf3a682af8af,slam_grddecal_r.mat,Tiny.V0.1,100654436,20732
fba5b819e8aa59f5,slam_grddecal_u.mat,Tiny.VD.1,5332868,346
7cceecf3c3e8837d,slam_windwave_r.mat,Tiny.V4.1,23584246,51060
1f14b362a3fc92ba,slam_windwave_u.mat,Tiny.V0.1,32298748,2208
2b915200699adff9,impactwave_r.mat,Tiny.VD.1,105334648,43382
de638220fd690f90,impactwave_u.mat,Tiny.VE.1,12556962,310
050a418c2db5d737,impactembers_r.mat,Tiny.V1.1,99980652,22622
d64dc964a68df288,impactembers_u.mat,Tiny.V1.1,100003274,18850
0a1a0f1d5d3973eb,flashimpact_u.mat,Tiny.V2.1,68325634,3768
0e44445232459212,flashimpact_r1.mat,Tiny.V2.1,23947622,38396
c36453b659372fd6,flashimpact_r2.mat,Tiny.V4.1,23554830,29416
259d942d98ac0123,debris_r1.mat,Tiny.V6.1,100825725,11952
e1e1801a28a38fbc,debris_u1.mat,Tiny.V0.1,100635226,19210
adb4930ab583ea6b,debris1_render.mat,Tiny.V4.1,99919036,18058
ce1518dce88f3b3d,debris1_update.mat,Tiny.V9.1,103939872,19366
