hash,file,bundle,offset,size
b9d7365ce6a9eaa7,rig_43c85d09.smd,Folders/art/models/items/weapons/twohandweapons/bows_1,2063166,14149
b665d4305c3d41bc,rig_43c85d09.smd.header,Tiny_2,65169961,368
4bfa6b0e1116b815,rig.amd,Tiny_2,65641707,4020
bd4b06f222211548,rig.ast,Folders/art/models/items/weapons/twohandweapons/bows_1,1958199,104967
2108be2a622f42b3,bow06.sm,Tiny_2,65164342,2692
bfaf09577f0c8397,bow06drop_5abf4bba.smd,Folders/art/models/items/weapons/twohandweapons/bows_1,1942872,15327
adc9bc0b1c83bbdb,bow06drop_5abf4bba.smd.header,Tiny_2,65169593,368
ec01a9131b846fd1,bow06drop.sm,Tiny_2,65169121,472
12d886ab8d9ef645,bow06drop.amd,Tiny_2,65167034,200
1139ec63eef8b387,bow06drop.ast,Tiny_2,65167234,1887
