hash,file,bundle,offset,size
8c07aef45e100000,warp_cirlce_3d.mat,Tiny_6,72521486,1314
a332a238315ed910,warp_cirlce_3d.dds,Art/particles/monster_particles/AtlasofWorlds_84,0,87556
55e24813d32174f7,warp_cirlce_3d.dds.header,Tiny_6,72519966,1520
1e0c708a9059091c,spinny_impact_multi.mat,Tiny_6,72518608,1358
5f5a5a1eeee6cb62,spinny_impact_multi.dds,Art/particles/monster_particles/AtlasofWorlds_142,896564,87556
5360fe86c6400779,spinny_impact_multi.dds.header,Tiny_6,73109848,1520
92ff89df7a11246f,ring.mat,Tiny_6,72516758,1850
727319545e7a9dde,ring.dds,Art/particles/monster_particles/AtlasofWorlds_84,87556,87556
9763c7fc792a7636,ring.dds.header,Tiny_6,72515238,1520
96638151ed7bc1c7,impact_decal_multi_dxt5.dds,Art/particles/monster_particles/AtlasofWorlds_83,2013712,22020
e689c5417c7c6a17,impact_decal_multi_dxt5.dds.header,Tiny_6,72512218,1520
167f4de51af332d1,impact_decal_multi.mat,Tiny_6,72513738,1500
fb9e66f166f855a7,impact_decal_multi.dds,Art/particles/monster_particles/AtlasofWorlds_83,2013712,22020
cabba7ee92c14164,impact_decal_multi.dds.header,Tiny_6,72512218,1520
3e06c46d1b2c7c58,black_ringfire_multi.mat,Tiny_6,72510568,1650
4baf2fcaa17f3435,black_ringfire_multi.dds,Art/particles/monster_particles/AtlasofWorlds_142,1071676,87556
a065448687fcebf2,black_ringfire_multi.dds.header,Tiny_6,125507901,1520
