hash,file,bundle,offset,size
1ccbc99ec9a7cd32,physslam_smoke_shockwave_r.mat,Tiny.V8,47513293,26748
6d54724d9571bfd7,physslam_smoke_shockwave_u.mat,Tiny.V2.1,42275948,2196
5733e5dd5a1a91d2,ripple_ring_r.mat,Tiny.VA.1,40406272,56252
053a9076174b5a0f,ripple_ring_u.mat,Tiny.VD.1,38379646,2958
bfeb625bc28fadfa,kickupdust2_u.mat,Tiny.V0.1,91301540,10258
485c5fe491186406,kickupdust_r.mat,Tiny.V3.1,86866100,21422
97cd8b4b1d1401fe,kickupdust_u.mat,Tiny.V9,49069675,10222
aef0199a5e84351e,impactaoering_01_u.mat,Tiny.VC,48452382,3140
1c4a54157603e371,impactaoering_01_r.mat,Tiny.VF.1,41946130,44470
02a13b2b5b77547a,impactaoering_01_r2.mat,Tiny.VA.1,40381066,25206
2000024fab004161,mblur_sphere_r.mat,Tiny.V8.1,40327980,10930
5b0e7dba1883f6d9,mblur_sphere_u.mat,Tiny.VB.1,53020710,1104
