hash,file,bundle,offset,size
eb9222bddc19c92c,leafpiledecals01ac.mat,Tiny.VA,22075334,1076
eb4fce795fac96a2,leafpiledecals01a_normal.dds,Streaming/Content/data/balance/worldareas/D4/p1_4.vworld,15469,5592580
8cf14ecd5eceebab,leafpiledecals01a_normal.dds.header,Tiny.VC,21990543,1520
fbc9ddeb50f573e0,leafpiledecals01a_colour.dds,Streaming/Content/data/balance/worldareas/32/p1_4.vworld,0,5592580
9bd668045c6da45e,leafpiledecals01a_colour.dds.header,Tiny.V4,22236183,1520
ca5076088affb7ef,leafpiledecals02bc.mat,Tiny.V5,21558831,1076
3bc7370744ad8039,leafpiledecals02b_normal.dds,Streaming/Content/data/balance/worldareas/9C/p1_4.vworld,303294,5592580
b3fb53ef6e165bd0,leafpiledecals02b_normal.dds.header,Tiny.V7,21853052,1520
08afd379cd16aa4d,leafpiledecals02b_colour.dds,Streaming/Content/data/balance/worldareas/31/g4_8a.vworld,66995,2796364
ba5fc0df84be6db5,leafpiledecals02b_colour.dds.header,Tiny.V9,22286002,1520
